level	replicate	verdict	confidence	f_estimate	median_dev	noise_floor	n_het	scope	ctrl_median_dev	other_arms_changed
0.2	19	CNLOH	LOW	0.202	0.1012	0.0716	139	arm	0.0286	-
0.25	0	CNLOH	HIGH	0.251	0.1257	0.0716	139	arm	0.0286	-
0.25	1	CNLOH	HIGH	0.250	0.1248	0.0716	139	arm	0.0286	-
0.25	2	CNLOH	HIGH	0.251	0.1257	0.0716	139	arm	0.0286	-
0.25	3	CNLOH	HIGH	0.253	0.1266	0.0716	139	arm	0.0286	-
0.25	4	CNLOH	HIGH	0.253	0.1264	0.0716	139	arm	0.0286	-
0.25	5	CNLOH	HIGH	0.250	0.1252	0.0716	139	arm	0.0286	-
0.25	6	CNLOH	HIGH	0.253	0.1263	0.0716	139	arm	0.0286	-
0.25	7	CNLOH	HIGH	0.250	0.1248	0.0716	139	arm	0.0286	-
0.25	8	CNLOH	HIGH	0.247	0.1236	0.0716	139	arm	0.0286	-
0.25	9	CNLOH	HIGH	0.252	0.1258	0.0716	139	arm	0.0286	-
0.25	10	CNLOH	HIGH	0.251	0.1257	0.0716	139	arm	0.0286	-
0.25	11	CNLOH	HIGH	0.248	0.1242	0.0716	139	arm	0.0286	-
0.25	12	CNLOH	HIGH	0.250	0.1248	0.0716	139	arm	0.0286	-
0.25	13	CNLOH	HIGH	0.247	0.1234	0.0716	139	arm	0.0286	-
0.25	14	CNLOH	HIGH	0.253	0.1264	0.0716	139	arm	0.0286	-
0.25	15	CNLOH	HIGH	0.254	0.1272	0.0716	139	arm	0.0286	-
0.25	16	CNLOH	HIGH	0.248	0.1238	0.0716	139	arm	0.0286	-
0.25	17	CNLOH	HIGH	0.251	0.1257	0.0716	139	arm	0.0286	-
0.25	18	CNLOH	HIGH	0.254	0.1269	0.0716	139	arm	0.0286	-
0.25	19	CNLOH	HIGH	0.246	0.1230	0.0716	139	arm	0.0286	-
